date,value
"2021-01-26",87
"2021-01-25",54
"2021-01-24",23
"2021-01-23",47
"2021-01-22",44
"2021-01-21",51
"2021-01-20",60
"2021-01-19",35
"2021-01-18",43
"2021-01-17",36
"2021-01-16",14
"2021-01-15",3
"2021-01-14",25
"2021-01-13",35
"2021-01-12",44
"2021-01-11",51
"2021-01-10",60
"2021-01-09",35
"2021-01-08",48
"2021-01-07",46
"2021-01-06",54
"2021-01-05",41
"2021-01-04",38
"2021-01-03",47
"2021-01-02",48
"2021-01-01",36
